symbol,code,name,current,percent,change,high,low,high52w,low52w,marketcapital,amount,pettm,volume
SZ300135,300135,宝利国际,2.92,10.19,0.27,2.92,2.64,4.73,2.37,2.691072E9,2.1460371495E8,63.84,74236640
SZ300071,300071,华谊嘉信,3.7,10.12,0.34,3.7,3.34,8.88,3.13,2.5104185056E9,5.275844309E7,,14543042
SZ002554,002554,惠博普,3.7,10.12,0.34,3.7,3.52,5.91,2.6,3.961997E9,3.4530646729E8,43.97,94071779
SZ002418,002418,康盛股份,3.38,10.1,0.31,3.38,3.05,10.55,2.96,3.841032E9,4.61251347E7,34.15,13995430
SH600165,600165,新日恒力,4.48,10.07,0.41,4.48,4.04,16.87,3.3,3.068279312E9,4.46954443E8,66.58,103831162
SZ000793,000793,华闻传媒,3.83,10.06,0.35,3.83,3.48,11.29,3.21,7.66495885037E9,6.1318457268E8,,163133067
SZ002143,002143,印纪传媒,4.27,10.05,0.39,4.27,4.11,15.26,2.87,7.55719196568E9,8.285801235E7,14.46,19598204
SZ000498,000498,山东路桥,4.27,10.05,0.39,4.27,3.87,8.74,3.54,4.78299379901E9,1.307015166E8,10.58,31093026
SZ002628,002628,成都路桥,6.25,10.04,0.57,6.25,5.64,8.99,3.86,4.6088513375E9,2.4915544029E8,242.33,41728440
SZ002219,002219,恒康医疗,3.62,10.03,0.33,3.62,3.3,12.2,2.91,6.7521558766E9,3.2079933966E8,61.59,89994404
SZ000576,000576,广东甘化,6.47,10.03,0.59,6.47,6.1,22.2,4.67,2.86531276628E9,2.0415229506E8,,32352857
SH603085,603085,天成自控,14.15,10.03,1.29,14.15,13.2,31.04,11.63,3.16727211275E9,9.1173793E7,43.83,6567400
SH601068,601068,中铝国际,8.01,10.03,0.73,8.01,8.01,8.01,4.14,2.370212400267E10,1.157791E7,38.13,1445432
SH600687,600687,刚泰控股,4.39,10.03,0.4,4.39,3.99,14.46,3.84,6.53546018456E9,1.97064204E8,16.38,46717372
SZ002072,002072,凯瑞德,9.0,10.02,0.82,9.0,7.83,32.3,5.7,1.584E9,6.1731494205E8,,72995825
SH603677,603677,奇精机械,14.05,10.02,1.28,14.05,12.67,23.66,11.81,2.757289458E9,5.1036609E7,30.28,3779779
SH600579,600579,天华院,9.11,10.02,0.83,9.11,8.28,16.12,7.13,3.74089417864E9,3.8626224E7,,4318396
SZ300491,300491,通合科技,16.59,10.01,1.51,16.59,15.41,35.98,12.96,2.408101542E9,1.8839548279E8,119.31,11563766
SZ002935,002935,天奥电子,40.87,10.01,3.72,40.87,40.87,40.87,25.59,4.3596029E9,2189119.81,,53563
SZ002921,002921,联诚精密,38.12,10.01,3.47,38.12,33.51,52.33,13.61,3.0496E9,3.0524522565E8,60.35,8499983
SZ002871,002871,伟隆股份,20.77,10.01,1.89,20.77,18.75,30.95,15.47,2.401012E9,1.3759224248E8,38.56,6836454
SZ002800,002800,天顺股份,22.53,10.01,2.05,22.53,20.59,46.82,17.7,1.6825404E9,5.378088411E7,75.96,2406787
SZ300664,300664,鹏鹞环保,15.4,10.0,1.4,15.4,13.77,29.79,10.61,7.392E9,7.679633646E7,,5177637
SZ300350,300350,华鹏飞,6.16,10.0,0.56,6.16,5.49,13.08,5.13,3.2686147956E9,1.8494158097E8,66.87,30727412
